POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit
LEK,3.446230888,67.45333099,8.696416855,3.400722027,6.238159657,7.348330498,25.76364708,563.5999146,0.148981512,11,0,2095.615479,8545.410156,15040.67773,8520.919922,373.8250427,2162.775635,16.10234261,19.63092422,2.004208088,8.972776413,9.599604607,3.758985281
LEK,3.446230888,67.45333099,8.696416855,3.400722027,6.238159657,7.348330498,25.76364708,563.5999146,0.148981512,11,0,2095.615479,8545.410156,15040.67773,8520.919922,373.8250427,2162.775635,16.10234261,19.63092422,2.004208088,8.972776413,9.599604607,3.758985281
LEK,2.282765865,73.16869354,7.473282337,3.142986059,5.777458191,5.0724473,25.89765358,575.6005859,0.125626102,4,0,2294.668701,9891.003906,36747.94141,9130.580078,237.5628052,3111.241699,18.61292648,15.25917244,2.244285345,5.431384563,7.021738529,3.429581165
LEK,5.084370136,61.395401,11.81143951,4.895188808,6.87922287,6.852792263,26.17277908,579.0630493,0.190544948,0,0,2308.665771,6945.901855,29209.65039,4669.154297,279.7452393,5251.88916,14.80208588,19.99955559,5.670546055,8.399669647,8.858940125,4.607067108
LEK,2.813141108,66.98074341,9.884075165,2.827621222,6.446352959,8.041268349,25.70691681,546.1122437,0.258578151,12,0,3021.808594,5175.841309,8796.083984,4091.063721,362.7173767,925.1152344,10.66215992,24.02622032,2.069579363,10.72165585,10.58754444,4.991316795
LEK,3.399227142,69.50162506,7.664081097,3.315722227,5.955375195,6.871258736,25.77021027,562.4572144,0.130198926,5,0,2273.562988,9049.428711,14719.17578,8094.371094,631.2046509,2115.524414,16.24239731,18.49787521,1.964985251,8.259415627,8.165363312,3.303625107
LEK,2.745526791,65.7462616,10.23919392,2.785553694,6.706063747,8.848033905,25.70295525,544.9538574,0.293492079,12,0,3039.33374,4442.419434,8060.370117,3438.045898,370.7049255,1364.078613,10.07318115,25.2446003,2.114535809,11.75758839,10.66985416,5.329271793
LEK,2.5701015,62.54021072,11.71626568,2.732786179,7.257266045,10.31508255,25.69493294,542.4338989,0.363927901,14,0,3312.367188,2921.24707,6562.629395,2304.799316,287.5024414,1168.295532,8.373348236,27.3318634,2.168182373,13.20650959,12.66533661,5.812761307
LEK,2.585296154,63.56254196,11.09506035,2.736293316,7.122986794,10.02364731,25.6980896,543.4453125,0.339323491,13,0,3145.245361,3518.850342,7129.708984,2688.932373,310.1009216,1624.751709,8.866579056,26.87457085,2.131110191,12.93645668,11.83308125,5.720159054
LEK,2.934604645,71.07126617,8.170422554,2.904318571,5.621722221,6.157578945,25.72160339,549.2527466,0.159415543,10,0,2841.907959,7185.961914,10324.26758,5339.45166,767.0413818,1765.550781,11.86643505,19.43723679,1.865541101,7.577932835,8.804718018,3.36588788
