POINT_TYPE,AveTree,AvePFG,AveAFG,AveBG,AveShrub,AveLit,DensOil,DensRoadway,DensWind,DistHighway,DistOil,DistRoadway,DistWind,Ruggedness,VarAFG,VarPFG,VarBG,VarLit,VarShrub,AvePrecip,AveTemp,AveCrop,DistTrans
LEK,4.469389439,69.73168945,8.151185036,4.920143127,4.11962986,5.813573837,6,2104.437744,0,3.37630957,3.051986084,0.241828033,18.32772266,18.79241943,6.530377388,15.94376659,5.216210365,2.502981663,4.290173054,584.2472534,26.36777306,0.069228537,2.733155762
LEK,2.18222332,72.82591248,8.222579956,5.945793629,2.691282749,5.294002056,17,2744.870605,0,4.274243652,1.710363647,0.533716675,6.332982422,10.6784935,9.302146912,20.32342529,8.462692261,3.821995258,1.784247398,545.5549927,25.73273468,0.190093085,0.912670105
LEK,3.462422371,65.56710052,9.752851486,7.326272011,3.610128641,7.122337818,0,2481.482666,0,2.720697021,5.568540527,0.172895309,28.93526953,17.33816338,8.456374168,21.59872818,8.6804142,4.602200508,3.270604372,572.4505615,26.23090935,0.234059215,1.086492798
LEK,2.152558088,60.19332886,13.77800369,6.707718849,6.726486206,6.747049809,0,1230.483887,0,9.085415039,8.443288086,0.330297669,19.54171289,17.92726707,10.73999119,17.54897499,7.226482391,3.76097393,5.876517296,475.7567139,25.95433426,0.169423193,7.471415527
LEK,2.075446844,58.77426147,14.27240372,7.006252766,6.907139301,7.22285223,0,1396.136108,0,9.309713867,8.094371094,0.789462219,20.31723633,15.80678844,11.22549152,18.04025841,7.064276695,3.991353273,6.284626961,474.100769,25.95289803,0.188355252,7.714290039
LEK,2.478416204,34.36957169,16.35151863,23.72410774,4.367004395,15.59610939,0,1635.29126,0,10.10784766,6.382682617,1.177550171,28.43958398,13.77183533,15.05186081,20.39758492,13.1412735,6.101518631,4.213721275,472.2796021,25.94763184,0.245807886,7.39463916
LEK,2.811683655,61.54349136,19.68684387,4.406833649,3.725696564,3.821791649,6,668.3712158,0,6.891205078,3.328575684,1.093592285,12.79687109,13.72259808,12.7589941,16.33950233,5.746032238,3.080232382,4.419340611,626.9162598,27.09336472,0.155502021,10.21303223
LEK,2.904713631,42.95321274,14.54745007,16.33410454,8.942540169,12.28099823,9,1885.08374,0,12.58929004,2.242002197,0.357421234,36.33193359,20.68255424,10.42218304,18.69338608,8.043064117,4.374121189,5.809549332,510.0372314,26.06088448,0.01808116,5.308409668
LEK,2.302172899,75.4184494,8.954500198,3.91885519,2.849491835,3.530864239,4,1080.122192,0,1.887237915,4.31684375,1.291966187,22.72194922,21.22644997,7.575987339,14.88320637,6.266996384,2.151041031,2.781057358,633.5526123,27.03434753,0.027716571,2.933530518
LEK,3.050529957,70.628479,10.37583351,4.760523796,3.762244701,4.960471153,3,1135.292847,0,3.378731689,2.551668213,0.958457642,34.59392188,20.00745201,6.704920292,13.13228607,3.538045168,2.293413639,3.826933146,543.6272583,26.18506432,0.013131686,17.6558418
