POINT_C,POINT_TYPE,AveTree,AvePFG,AveAFG,AveBG,AveShrub,AveLit,DensOil,DensRoadway,DensWind,DistHighway,DistOil,DistRoadway,DistWind,Ruggedness,VarAFG,VarPFG,VarBG,VarTree,VarLit,VarShrub,AvePrecip,AveTemp,AveCrop,AveElev,DistTrans,Data_set,Stable_lek,PT_Type
LEK,LEK,3.040478468,69.56723022,7.944420815,7.144819736,3.492680073,6.247355461,1,1915.183716,0,2.34826709,2.639780518,0.881480408,32.11256836,12.99628067,7.318784237,19.03461456,8.801481247,3.490216255,3.717358351,3.40340519,581.5710449,25.96766663,0.187323019,751.7354126,11.66715723,A,0,1
STABLE,LEK,2.755192518,77.0007019,5.673436642,4.230186462,2.843013287,4.961242199,0,2276.474854,0,2.28636792,5.738453613,0.150831574,21.41571484,12.74950695,6.001448631,11.52565575,3.953613281,3.603679895,1.964002967,1.965622187,591.4814453,26.14095497,0.084117413,721.9017944,3.820532471,A,1,1
LEK,LEK,2.472755909,77.65646362,5.830489159,4.142168045,2.634970427,4.823803902,1,1886.129883,0,4.299936035,4.131887695,0.253652985,21.86744727,15.93079185,5.517045021,11.91099548,4.607661724,3.509367466,2.065186977,2.008980036,588.8670044,26.14698029,0.045958724,729.3824463,3.447154053,A,0,1
LEK,LEK,2.904215097,76.3013916,6.190516472,4.346374989,2.795295,4.93748188,2,1725.012817,0,5.872198242,4.454703125,0.62750116,20.51377344,15.41414356,6.036214352,12.92440891,4.615831375,4.580901146,2.038968801,2.067901373,591.0385132,26.17814636,0.059774775,723.5476685,2.418666992,A,0,1
STABLE,LEK,2.424407482,77.19411469,6.321015835,4.047408104,2.658119678,4.799337864,2,1914.57251,0,2.670079834,3.327245605,0.506448395,22.49397656,15.85844326,5.622567177,12.03612518,4.552597046,2.736522913,2.160218,2.19927907,587.0028076,26.13008881,0.058881428,732.5064697,3.547049561,A,1,1
LEK,LEK,2.915535927,68.38022614,8.553966522,7.018363476,3.531616449,6.72567749,13,2912.667969,0,7.922867188,1.477789917,0.580875549,34.96209766,16.89297867,7.742288113,19.1004467,7.927722931,3.981174231,4.651995182,2.936945915,577.4709473,25.96759033,0.212138176,753.3561401,9.577558594,A,0,1
STABLE,LEK,2.655956984,75.85761261,7.12740612,4.192011356,2.677404404,4.864667892,2,1771.937866,0,0.741450867,1.817441284,0.172625732,23.62298828,16.64767075,6.446002483,13.58611298,4.959785938,2.828166962,2.391628504,2.138287783,584.8699341,26.11581802,0.069705449,733.1200562,3.770086914,A,1,1
LEK,LEK,3.150592804,60.86115265,11.67523289,10.66751289,3.027634382,7.426729679,17,2682.364746,0,5.260519531,1.416613281,0.399347534,9.739958984,10.78730297,11.53394604,26.56385612,12.63723755,4.30389595,5.272893429,2.295601845,545.2719116,25.69734573,0.352347463,848.755249,5.897977051,A,0,1
LEK,LEK,2.034535885,74.22997284,6.284900188,6.189670086,2.841048241,5.78059864,13,2828.453613,0,8.574691406,2.416225342,0.367513702,36.12448438,16.71234703,7.672527313,17.72245216,6.980064392,3.476889849,3.376675844,2.095695496,576.069458,25.74651909,0.160219997,783.7971191,8.61084082,A,0,1
LEK,LEK,2.686506271,69.65701294,8.133207321,6.720722675,3.384540081,6.479036808,14,2813.804443,0,8.574810547,2.646061523,0.240927658,35.57936328,17.2149334,7.625339031,18.62518311,7.740221024,3.843216181,4.257204533,2.618669987,576.7612305,25.94968605,0.188422844,755.5530396,9.681375977,A,0,1
LEK,LEK,4.536768913,66.88793182,10.23581886,5.31051302,4.465910912,5.632290363,1,1811.142944,0,3.387445068,3.988516357,0.779867676,26.77608008,19.4973259,8.241165161,18.47146606,6.512042522,6.137321949,3.338019609,5.603164673,581.2216797,26.12129211,0.136329591,728.8832397,4.857880371,A,0,1
STABLE,LEK,2.881742954,75.88020325,6.902917862,3.942324162,2.908709764,4.779423237,2,1679.72876,0,1.990985229,1.762413818,1.123329468,22.05427539,18.1126976,5.788754463,12.36415958,4.388897419,3.052873135,2.069705963,2.574134111,585.8583984,26.16703987,0.054840546,727.8618164,2.390901367,A,1,1
LEK,LEK,2.932310343,59.43819046,12.65189552,11.29846859,2.899363518,7.693229198,19,3060.740723,0,3.220077637,0.543246399,0.011328252,7.346926758,9.601682663,12.80607414,27.43669891,13.64529896,4.223451138,5.813770294,2.310076714,541.8522949,25.69102097,0.39577502,852.9824829,3.553283936,A,0,1
LEK,LEK,3.331340075,69.99886322,7.688875675,5.715805054,3.530055523,5.69712162,6,2150.753906,0,8.301208984,0.596335083,0.64539502,18.34074219,18.54846573,7.622551918,14.65161514,6.276630878,3.63958168,2.580010176,1.84734261,573.1503296,25.81159019,0.070300788,808.4708252,8.356994141,A,0,1
LEK,LEK,3.147800207,67.06448364,9.50508213,7.775577545,3.083871603,6.228756905,16,2666.745117,0,7.131663086,1.84003418,0.482566376,10.94142773,11.79400444,10.03788662,22.50564766,9.671317101,3.990765095,3.91955471,2.084958076,549.031189,25.71370125,0.213637695,842.2521973,6.203780762,A,0,1
